Date,Adj Close,Close,High,Low,Open,Volume
2021-12-28,72992.421875,80300.0,80400.0,79700.0,80200.0,18226325
2021-12-29,71952.4140625,78800.0,80200.0,78500.0,80200.0,19794795
2021-12-30,71495.8515625,78300.0,79500.0,78100.0,78900.0,14236700
2022-01-04,71861.0859375,78700.0,79200.0,78300.0,78800.0,12427416
2022-01-05,70674.0546875,77400.0,79000.0,76400.0,78800.0,25470640
2022-01-06,70217.515625,76900.0,77600.0,76600.0,76700.0,12931954
2022-01-07,71495.8515625,78300.0,78400.0,77400.0,78100.0,15163757
2022-01-10,71221.90625,78000.0,78100.0,77100.0,78100.0,9947422
2022-01-11,72043.7109375,78900.0,79000.0,78000.0,78400.0,13221123
2022-01-12,72043.7109375,78900.0,79600.0,78600.0,79500.0,11000502
2022-01-13,71130.609375,77900.0,79300.0,77900.0,79300.0,13889401
2022-01-14,70582.75,77300.0,78100.0,77100.0,77700.0,10096725
2022-01-17,70765.359375,77500.0,77800.0,76900.0,77600.0,8785122
2022-01-18,70308.8203125,77000.0,77800.0,76600.0,77600.0,9592788
2022-01-19,69669.6484375,76300.0,76900.0,76100.0,76500.0,10598290
2022-01-20,69852.2578125,76500.0,76700.0,75900.0,76200.0,9708168
2022-01-21,69030.4609375,75600.0,75800.0,74700.0,75800.0,15774888
2022-01-24,68573.90625,75100.0,75800.0,74700.0,75400.0,13691134
2022-01-25,67569.5078125,74000.0,75000.0,73200.0,74800.0,17766704
2022-01-26,67569.5078125,74000.0,74000.0,74000.0,74000.0,0
2022-01-27,65104.1484375,71300.0,74000.0,71300.0,73800.0,22274777
2022-01-28,66930.328125,73300.0,73700.0,71200.0,71300.0,21367447
2022-02-03,66930.328125,73300.0,74900.0,73300.0,74900.0,17744721
2022-02-04,67569.5078125,74000.0,74600.0,73400.0,74300.0,12730034
2022-02-07,66656.4140625,73000.0,73600.0,72400.0,73500.0,14240838
2022-02-08,66656.4140625,73000.0,73000.0,73000.0,73000.0,0
2022-02-09,66656.4140625,73000.0,73000.0,73000.0,73000.0,0
2022-02-10,68847.859375,75400.0,75800.0,74700.0,75600.0,17746033
